GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Notes,com.baton.Notes.service,NoteService,0,23,0,0,0,7,0,4,0,4
Notes,com.baton.Notes.model,notes,0,32,0,0,0,13,0,9,0,9
Notes,com.baton.Notes,NotesApplication,5,3,0,0,2,1,1,1,1,1
Notes,com.baton.Notes.controller,ApiController,0,24,0,0,0,6,0,4,0,4
